Country,Region,HappinessScore2015,GDPpercapita2015,HappinessScore2016,GDPpercapita2016,HappinessScore2017,GDPpercapita2017
Armenia,Central and Eastern Europe,4.35,0.76821,4.36,4.454,4.37599992752075,0.900596737861633
Botswana,Sub-Saharan Africa,4.332,0.99355,3.974,4.073,3.76600003242493,1.12209415435791
Myanmar,Southeastern Asia,4.307,0.27108,4.395,4.463,4.54500007629395,0.367110550403595
Georgia,Central and Eastern Europe,4.297,0.7419,4.252,4.34,4.28599977493286,0.950612664222717
Malawi,Sub-Saharan Africa,4.292,0.01604,4.156,4.271,3.97000002861023,0.233442038297653
Sri Lanka,Southern Asia,4.271,0.83524,4.415,4.508,4.44000005722046,1.00985014438629
Cameroon,Sub-Saharan Africa,4.252,0.4225,4.513,4.609,4.69500017166138,0.564305365085602
Bulgaria,Central and Eastern Europe,4.218,1.01216,4.217,4.33,4.71400022506714,1.1614590883255
Egypt,Middle East and Northern Africa,4.194,0.8818,4.362,4.465,4.7350001335144,0.989701807498932
Yemen,Middle East and Northern Africa,4.077,0.54649,3.724,3.827,3.59299993515015,0.591683447360992
Angola,Sub-Saharan Africa,4.033,0.75778,3.866,3.979,3.79500007629395,0.858428180217743
Mali,Sub-Saharan Africa,3.995,0.26074,4.073,4.158,4.19000005722046,0.476180493831635
Congo (Brazzaville),Sub-Saharan Africa,3.989,0.67866,4.236,4.365,4.29099988937378,0.808964252471924
Comoros,Sub-Saharan Africa,3.956,0.23906,3.956,4.052,NA,NA
Uganda,Sub-Saharan Africa,3.931,0.21102,3.739,3.849,4.08099985122681,0.381430715322495
Senegal,Sub-Saharan Africa,3.904,0.36498,4.219,4.287,4.53499984741211,0.479309022426605
Gabon,Sub-Saharan Africa,3.896,1.06024,4.121,4.212,4.46500015258789,1.1982102394104
Niger,Sub-Saharan Africa,3.845,0.0694,3.856,3.931,4.02799987792969,0.161925330758095
Cambodia,Southeastern Asia,3.819,0.46038,3.907,4.016,4.16800022125244,0.601765096187592
Tanzania,Sub-Saharan Africa,3.781,0.2852,3.666,3.771,3.34899997711182,0.511135876178741
Madagascar,Sub-Saharan Africa,3.681,0.20824,3.695,3.769,3.64400005340576,0.305808693170547
Central African Republic,Sub-Saharan Africa,3.678,0.0785,NA,NA,2.69300007820129,0
Chad,Sub-Saharan Africa,3.667,0.34193,3.763,3.854,3.93600010871887,0.438012987375259
Guinea,Sub-Saharan Africa,3.656,0.17417,3.607,3.681,3.50699996948242,0.244549930095673
Ivory Coast,Sub-Saharan Africa,3.655,0.46534,3.916,4.006,4.17999982833862,0.603048920631409
Burkina Faso,Sub-Saharan Africa,3.587,0.25812,3.739,3.831,4.03200006484985,0.3502277135849
Afghanistan,Southern Asia,3.575,0.31982,3.36,3.432,3.79399991035461,0.401477217674255
Rwanda,Sub-Saharan Africa,3.465,0.22208,3.515,3.586,3.47099995613098,0.368745893239975
Benin,Sub-Saharan Africa,3.34,0.28665,3.484,3.564,3.65700006484985,0.431085407733917
Syria,Middle East and Northern Africa,3.006,0.6632,3.069,3.202,3.46199989318848,0.777153134346008
Burundi,Sub-Saharan Africa,2.905,0.0153,2.905,3.078,2.90499997138977,0.091622568666935
Togo,Sub-Saharan Africa,2.839,0.20868,3.303,3.414,3.49499988555908,0.305444717407227
